"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
51,"ANNE BRONNER;VIVIANE HÉNAUX;TIMOTHÉE VERGNE;JEAN-LUC VINARD;ERIC MORIGNAT;PASCAL HENDRIKX;DIDIER CALAVAS;EMILIE GAY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-05-14,"UNITED STATESPLOS ONE1012850811932-6203",""
52,"W C WILSON;H M WEINGARTL;B S DROLET;K DAVÉ;M H HARPSTER;P A JOHNSON;B FABURAY;M G RUDER;J A RICHT;D S MCVEY","ENG","JOURNAL ARTICLE",2013-05-14,"SWITZERLANDDEV BIOL (BASEL)1009400581424-6074",""
53,"B DUNGU;M DONADEU;M BOULOY","ENG","JOURNAL ARTICLE",2013-05-14,"SWITZERLANDDEV BIOL (BASEL)1009400581424-6074",""
54,"A F G ANTONIS;J KORTEKAAS;J KANT;R P M VLOET;A VOGEL-BRINK;N STOCKHOFE;R J M MOORMANN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-05-19,"UNITED STATESVECTOR BORNE ZOONOTIC DIS1009655251530-3667",""
55,"TARIK A AL AZRAQI;AWAD A EL MEKKI;AHMED A MAHFOUZ","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-19,"ENGLANDJ INFECT PUBLIC HEALTH101487384",""
56,"LING XUE;LEE W COHNSTAEDT;H MORGAN SCOTT;CATERINA SCOGLIO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-05-07,"UNITED STATESPLOS ONE1012850811932-6203",""
57,"S JÄCKEL;M EIDEN;A BALKEMA-BUSCHMANN;M ZILLER;P JANSEN VAN VUREN;J T PAWESKA;M H GROSCHUP","ENG","JOURNAL ARTICLE",2013-05-09,"ENGLANDRES VET SCI04013000034-5288","GLYCOPROTEIN GN;INDIRECT IGG ELISA;RIFT VALLEY FEVER VIRUS;SMALL RUMINANTS"
58,"","ENG","NEWS",NA,"ENGLANDVET REC00311640042-4900",""
59,"OLGA A LIHORADOVA;SABARISH V INDRAN;BIRTE KALVERAM;NANDADEVA LOKUGAMAGE;JENNIFER A HEAD;BIN GONG;BERSABEH TIGABU;TERRY L JUELICH;ALEXANDER N FREIBERG;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-04-18,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
60,"FREDERIC VIGANT;JIHYE LEE;AXEL HOLLMANN;LUKAS B TANNER;ZEYNEP AKYOL ATAMAN;TATYANA YUN;GUANGHOU SHUI;HECTOR C AGUILAR;DONG ZHANG;DAVID MERIWETHER;GLEYDER ROMAN-SOSA;LINDSEY R ROBINSON;TERRY L JUELICH;HUBERT BUCZKOWSKI;SUNWEN CHOU;MIGUEL A R B CASTANHO;MIKE C WOLF;JENNIFER K SMITH;ASHLEY BANYARD;MARGARET KIELIAN;SRINIVASA REDDY;MARKUS R WENK;MATTHIAS SELKE;NUNO C SANTOS;ALEXANDER N FREIBERG;MICHAEL E JUNG;BENHUR LEE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",2013-04-18,"UNITED STATESPLOS PATHOG1012389211553-7366",""
61,"N STORM;J WEYER;W MARKOTTER;A KEMP;P A LEMAN;V DERMAUX-MSIMANG;L H NEL;J T PAWESKA","ENG","JOURNAL ARTICLE",2013-04-24,"EPIDEMIOL INFECT87037370950-2688",""
62,"H ZELLER;L MARRAMA;B SUDRE;W VAN BORTEL;E WARNS-PETIT","ENG","JOURNAL ARTICLE",2013-04-22,"FRANCECLIN MICROBIOL INFECT95164201198-743X","CHIKUNGUNYA;EUROPE;RIFT VALLEY FEVER;WEST NILE;DENGUE;DISEASE;MALARIA;MOSQUITO;SURVEILLANCE"
63,"FERNANDO SÁNCHEZ-VIZCAÍNO;BEATRIZ MARTÍNEZ-LÓPEZ;JOSÉ MANUEL SÁNCHEZ-VIZCAÍNO","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-28,"NETHERLANDSVET MICROBIOL77054690378-1135",""
64,"CHRISTOPHER REED;KENNY LIN;CATHERINE WILHELMSEN;BRIAN FRIEDRICH;AYSEGUL NALCA;ASHLEY KEENEY;GINGER DONNELLY;JOSHUA SHAMBLIN;LISA E HENSLEY;GENE OLINGER;DARCI R SMITH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",2013-04-04,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
65,"BAOBIN LI;QUAN WANG;XIJIANG PAN;ISABEL FERNÁNDEZ DE CASTRO;YUNA SUN;YU GUO;XINWEI TAO;CRISTINA RISCO;SEN-FANG SUI;ZHIYONG LOU","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-04-08,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424","ASSEMBLY;PACKAGING"
66,"C A MANORE;B R BEECHLER","ENG","JOURNAL ARTICLE",2013-03-28,"TRANSBOUND EMERG DIS101319538",""
67,"HANA A M OSMAN;KAMAL H ELTOM;NASREEN O MUSA;NASRELDIN M BILAL;MUSTAFA I ELBASHIR;IMADELDIN E ARADAIB","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-28,"NETHERLANDSJ VIROL METHODS80058390166-0934",""
68,"KIMBERLY A DODD;ANITA K MCELROY;MEGAN E B JONES;STUART T NICHOL;CHRISTINA F SPIROPOULOU","ENG","JOURNAL ARTICLE",2013-03-27,"UNITED STATESJ VIROL01137240022-538X",""
69,"ZACHARY W BENT;MARY B TRAN-GYAMFI;STANLEY A LANGEVIN;DAVID M BRAZEL;RACHELLE Y HAMBLIN;STEVEN S BRANDA;KAMLESH D PATEL;TODD W LANE;VICTORIA A VANDERNOOT","ENG","JOURNAL ARTICLE",2013-03-25,"UNITED STATESANAL BIOCHEM03705350003-2697",""
70,"OSMAN DAR;SUE HOGARTH;SABRINA MCINTYRE","ENG","EDITORIAL",2013-03-26,"ENGLANDTROP MED INT HEALTH96105761360-2276","RIFT VALLEY FEVER;BIOSECURITY;BIOTERRORISM;GLOBAL HEALTH;RESEARCH"
71,"WEIDONG XU;DOUGLAS M WATTS;MARGARET C COSTANZO;XIAOLEI TANG;LEON A VENEGAS;FENG JIAO;ALESSANDRO SETTE;JOHN SIDNEY;ANDREW K SEWELL;LINDA WOOLDRIDGE;SHINJI MAKINO;JOHN C MORRILL;CLARENCE J PETERS;JUNE KAN-MITCHELL","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL",2013-03-18,"UNITED STATESPLOS ONE1012850811932-6203",""
72,"BRIAN B GOWEN;KEVIN W BAILEY;DIONNA SCHARTON;ZACHERY VEST;JONNA B WESTOVER;RAMONA SKIRPSTUNAS;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-21,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
73,"J M GACHOHI;B BETT;G NJOGU;J C MARINER;C C JOST","ENG","JOURNAL ARTICLE",NA,"FRANCEREV SCI TECH87123010253-1933",""
74,"V CHEVALIER","ENG","JOURNAL ARTICLE",2013-03-20,"FRANCECLIN MICROBIOL INFECT95164201198-743X","EUROPE;RIFT VALLEY FEVER;PUBLIC HEALTH;RISK;SURVEILLANCE;TRADE"
75,"SABARISH V INDRAN;OLGA A LIHORADOVA;INAIA PHOENIX;NANDADEVA LOKUGAMAGE;BIRTE KALVERAM;JENNIFER A HEAD;BERSABEH TIGABU;JENNIFER K SMITH;LIHONG ZHANG;TERRY L JUELICH;BIN GONG;ALEXANDER N FREIBERG;TETSURO IKEGAMI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-20,"ENGLANDJ GEN VIROL00773400022-1317",""
76,"HANI BOSHRA;THANG TRUONG;CHARLES NFON;VOLKER GERDTS;SURESH TIKOO;LORNE A BABIUK;PRAVESH KARA;ARSHAD MATHER;DAVID WALLACE;SHAWN BABIUK","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-07,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
77,"TARIQ A MADANI;EL-TAYEB M E ABUELZEIN;HUSSEIN M S AL-BAR;ESAM I AZHAR;MOUJAHED KAO;HAJ O ALSHOEB;ALABD R BAMOOSA","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-03-14,"ENGLANDBMC INFECT DIS1009685511471-2334",""
78,"R KOUKUNTLA;R B MANDELL;R FLICK","ENG","JOURNAL ARTICLE",NA,"GERMANYZOONOSES PUBLIC HEALTH1013007861863-1959",""
79,"PAVEL RATMANOV;OLEG MEDIANNIKOV;DIDIER RAOULT","ENG","JOURNAL ARTICLE",2013-03-10,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
